Perturbation	Cell Count	Rank	geneName
Perturb-CITE-seq	95	2	CCT3
K562_GW	55	3	CCT3
RPE1_essential	54	4	CCT3
UPR_Perturb_seq	445	1	TTI1
K562_GW	218	2	TTI1
exp1-5	199	3	TTI1
K562_essential	147	4	TTI1
RPE1_essential	75	5	TTI1
210322_TFAtlas	289	1	HOXA10
extend_61	245	2	HOXA10
sciPlex3_MCF7_0.1μM	466	1	Fulvestrant
sciPlex3_MCF7_10μM	413	2	Fulvestrant
sciPlex3_MCF7_0.01μM	334	3	Fulvestrant
sciPlex3_A549_10μM	277	4	Fulvestrant
sciPlex3_MCF7_1μM	258	5	Fulvestrant
sciPlex3_K562_0.1μM	254	6	Fulvestrant
sciPlex3_K562_10μM	254	7	Fulvestrant
sciPlex3_K562_0.01μM	249	8	Fulvestrant
sciPlex3_A549_0.1μM	247	9	Fulvestrant
sciPlex3_A549_0.01μM	228	10	Fulvestrant
sciPlex3_K562_1μM	225	11	Fulvestrant
sciPlex3_A549_1μM	77	12	Fulvestrant
CRISPRi	160	1	GLE1
K562_GW	64	2	GLE1
RPE1_essential	63	3	GLE1
K562_essential	29	4	GLE1
exp7	471	1	HSPE1
exp6	90	2	HSPE1
RPE1_essential	88	3	HSPE1
K562_GW	39	4	HSPE1
K562_GW	123	1	FOXN2
210322_TFAtlas	52	2	FOXN2
210322_TFAtlas	857	1	ZNF22
K562_GW	149	2	ZNF22
exp6	580	1	RRM1
exp10	181	2	RRM1
exp9	140	3	RRM1
K562_GW	74	4	RRM1
RPE1_essential	63	5	RRM1
K562_essential	60	6	RRM1
K562_GW	254	1	ZBTB17
RPE1_essential	233	2	ZBTB17
K562_essential	125	3	ZBTB17
210322_TFAtlas	54	4	ZBTB17
Pre_inject	253	1	RALA
Driver_lib	120	2	RALA
K562_GW	92	3	RALA
Driver_sub_lib	36	4	RALA
K562_GW	175	1	NCL
K562_essential	128	2	NCL
PRJNA551220	111	3	NCL
RPE1_essential	94	4	NCL
Perturb-CITE-seq	43	5	NCL
neural-matrices	1784	1	MECP2
PRJNA595864	527	2	MECP2
K562_GW	102	3	MECP2
210322_TFAtlas	71	4	MECP2
210322_TFAtlas	3966	1	ETV7
ECCITE	841	2	ETV7
ECCITE	614	1	IRF7
210322_TFAtlas	310	2	IRF7
210322_TFAtlas	272	1	HSBP1
K562_GW	85	2	HSBP1
sciPlex3_MCF7_10μM	479	1	S3I-201
sciPlex3_MCF7_0.01μM	458	2	S3I-201
sciPlex3_MCF7_0.1μM	425	3	S3I-201
sciPlex3_MCF7_1μM	368	4	S3I-201
sciPlex3_K562_10μM	296	5	S3I-201
sciPlex3_K562_1μM	289	6	S3I-201
sciPlex3_K562_0.01μM	280	7	S3I-201
sciPlex3_K562_0.1μM	263	8	S3I-201
sciPlex3_A549_0.1μM	230	9	S3I-201
sciPlex3_A549_10μM	135	10	S3I-201
sciPlex3_A549_0.01μM	107	11	S3I-201
sciPlex3_A549_1μM	103	12	S3I-201
k562_tfs_highmoi	5686	1	CREB1
k562_tfs_7	2576	2	CREB1
k562_tfs_13	1537	3	CREB1
exp7	1288	4	CREB1
exp8	1048	5	CREB1
201218_RNA	197	6	CREB1
pilot	166	7	CREB1
K562_GW	149	8	CREB1
210322_TFAtlas	86	9	CREB1
210322_TFAtlas	260	1	ZNF664
K562_GW	150	2	ZNF664
K562_GW	342	1	SMAD1
210322_TFAtlas	121	2	SMAD1
PRJNA551220	113	1	PLK4
RPE1_essential	107	2	PLK4
K562_essential	31	3	PLK4
K562_GW	28	4	PLK4
sciPlex3_MCF7_0.1μM	530	1	SGI-1776-free-base
sciPlex3_MCF7_1μM	503	2	SGI-1776-free-base
sciPlex3_K562_0.1μM	272	3	SGI-1776-free-base
sciPlex3_A549_0.1μM	239	4	SGI-1776-free-base
sciPlex3_A549_1μM	236	5	SGI-1776-free-base
sciPlex3_K562_0.01μM	232	6	SGI-1776-free-base
sciPlex3_K562_1μM	228	7	SGI-1776-free-base
sciPlex3_MCF7_10μM	225	8	SGI-1776-free-base
sciPlex3_MCF7_0.01μM	156	9	SGI-1776-free-base
sciPlex3_A549_0.01μM	142	10	SGI-1776-free-base
sciPlex3_A549_10μM	126	11	SGI-1776-free-base
sciPlex3_K562_10μM	54	12	SGI-1776-free-base
sciPlex3_MCF7_0.01μM	419	1	Alendronate-sodium-trihydrate
sciPlex3_K562_0.01μM	304	2	Alendronate-sodium-trihydrate
sciPlex3_K562_10μM	273	3	Alendronate-sodium-trihydrate
sciPlex3_MCF7_0.1μM	272	4	Alendronate-sodium-trihydrate
sciPlex3_K562_1μM	252	5	Alendronate-sodium-trihydrate
sciPlex3_K562_0.1μM	249	6	Alendronate-sodium-trihydrate
sciPlex3_A549_0.01μM	248	7	Alendronate-sodium-trihydrate
sciPlex3_A549_0.1μM	225	8	Alendronate-sodium-trihydrate
sciPlex3_MCF7_10μM	189	9	Alendronate-sodium-trihydrate
sciPlex3_A549_10μM	147	10	Alendronate-sodium-trihydrate
sciPlex3_A549_1μM	129	11	Alendronate-sodium-trihydrate
sciPlex3_MCF7_1μM	103	12	Alendronate-sodium-trihydrate
exp7	820	1	ANAPC13
RPE1_essential	116	2	ANAPC13
K562_essential	112	3	ANAPC13
K562_GW	74	4	ANAPC13
K562_GW	161	1	NDUFA2
K562_essential	119	2	NDUFA2
CRISPRi	100	3	NDUFA2
RPE1_essential	33	4	NDUFA2
exp7	1540	1	DBR1
K562_GW	139	2	DBR1
CRISPRi	130	3	DBR1
RPE1_essential	127	4	DBR1
K562_essential	95	5	DBR1
exp7	518	1	VCP
K562_GW	288	2	VCP
K562_essential	239	3	VCP
CRISPRi	116	4	VCP
RPE1_essential	29	5	VCP
K562_GW	94	1	WIZ
210322_TFAtlas	50	2	WIZ
210322_TFAtlas	1009	1	SS18
K562_GW	254	2	SS18
K562_GW	173	1	ZNF277
210322_TFAtlas	48	2	ZNF277
sciPlex3_MCF7_0.01μM	436	1	ZM-447439
sciPlex3_A549_0.1μM	395	2	ZM-447439
sciPlex3_A549_0.01μM	353	3	ZM-447439
sciPlex3_MCF7_0.1μM	279	4	ZM-447439
sciPlex3_A549_1μM	268	5	ZM-447439
sciPlex3_K562_0.01μM	252	6	ZM-447439
sciPlex3_A549_10μM	245	7	ZM-447439
sciPlex3_K562_0.1μM	239	8	ZM-447439
sciPlex3_K562_1μM	221	9	ZM-447439
sciPlex3_K562_10μM	220	10	ZM-447439
sciPlex3_MCF7_10μM	204	11	ZM-447439
sciPlex3_MCF7_1μM	139	12	ZM-447439
ND	2909	1	BACH2
exp8	1395	2	BACH2
T2D	563	3	BACH2
Jurkat_TCR	210	4	BACH2
210322_TFAtlas	676	1	NR1H4
201218_RNA	70	2	NR1H4
210322_TFAtlas	1200	1	LIN28B
K562_GW	178	2	LIN28B
RPE1_essential	55	1	DUT
K562_essential	48	2	DUT
exp6	45	3	DUT
K562_GW	45	4	DUT
K562_GW	403	1	ERF
210322_TFAtlas	122	2	ERF
iPSC	20474	1	PPP2R1A
day7neuron	556	2	PPP2R1A
K562_GW	414	3	PPP2R1A
K562_essential	236	4	PPP2R1A
RPE1_essential	214	5	PPP2R1A
210322_TFAtlas	385	1	ZNF468
K562_essential	207	2	ZNF468
K562_GW	202	1	COG4
CRISPRi	155	2	COG4
K562_essential	129	3	COG4
RPE1_essential	48	4	COG4
RPE1_essential	137	1	PPP1R8
iPSC	106	2	PPP1R8
K562_GW	89	3	PPP1R8
K562_essential	59	4	PPP1R8
day7neuron	47	5	PPP1R8
sciPlex3_MCF7_0.01μM	582	1	Curcumin
sciPlex3_MCF7_0.1μM	579	2	Curcumin
sciPlex3_MCF7_1μM	470	3	Curcumin
sciPlex3_MCF7_10μM	291	4	Curcumin
sciPlex3_K562_0.01μM	288	5	Curcumin
sciPlex3_K562_1μM	267	6	Curcumin
sciPlex3_A549_10μM	259	7	Curcumin
sciPlex3_K562_10μM	253	8	Curcumin
sciPlex3_A549_0.01μM	236	9	Curcumin
sciPlex3_K562_0.1μM	231	10	Curcumin
sciPlex3_A549_0.1μM	221	11	Curcumin
sciPlex3_A549_1μM	217	12	Curcumin
210322_TFAtlas	299	1	ZNF587B
K562_GW	111	2	ZNF587B
210322_TFAtlas	276	1	NKRF
K562_GW	175	2	NKRF
UPR_Perturb_seq	917	1	IARS2
K562_essential	179	2	IARS2
K562_GW	75	3	IARS2
RPE1_essential	70	4	IARS2
210322_TFAtlas	210	1	ZNF48
201218_RNA	183	2	ZNF48
K562_GW	112	1	TSC22D2
210322_TFAtlas	32	2	TSC22D2
210322_TFAtlas	252	1	RPA3
K562_GW	101	2	RPA3
K562_essential	100	3	RPA3
RPE1_essential	61	4	RPA3
210322_TFAtlas	45	1	ZNF681
K562_GW	32	2	ZNF681
201218_RNA	1074	1	ATOH7
210322_TFAtlas	650	2	ATOH7
210322_TFAtlas	408	1	SLC2A4RG
K562_GW	259	2	SLC2A4RG
sample1-18	336	1	SETD2
K562_GW	198	2	SETD2
Mock	131	3	SETD2
Dox	121	4	SETD2
K562_essential	91	5	SETD2
RPE1_essential	43	6	SETD2
210322_TFAtlas	640	1	ALYREF
K562_GW	312	2	ALYREF
K562_essential	119	3	ALYREF
RPE1_essential	42	4	ALYREF
sciPlex3_MCF7_0.01μM	528	1	Anacardic-Acid
sciPlex3_MCF7_1μM	514	2	Anacardic-Acid
sciPlex3_MCF7_10μM	487	3	Anacardic-Acid
sciPlex3_MCF7_0.1μM	361	4	Anacardic-Acid
sciPlex3_A549_10μM	271	5	Anacardic-Acid
sciPlex3_A549_0.01μM	263	6	Anacardic-Acid
sciPlex3_K562_0.1μM	259	7	Anacardic-Acid
sciPlex3_K562_0.01μM	250	8	Anacardic-Acid
sciPlex3_A549_1μM	242	9	Anacardic-Acid
sciPlex3_K562_10μM	225	10	Anacardic-Acid
sciPlex3_A549_0.1μM	225	11	Anacardic-Acid
sciPlex3_K562_1μM	216	12	Anacardic-Acid
K562_GW	168	1	CXXC1
K562_essential	112	2	CXXC1
RPE1_essential	87	3	CXXC1
210322_TFAtlas	77	4	CXXC1
sciPlex3_MCF7_10μM	512	1	AG-490
sciPlex3_MCF7_0.01μM	465	2	AG-490
sciPlex3_K562_1μM	308	3	AG-490
sciPlex3_K562_0.01μM	279	4	AG-490
sciPlex3_MCF7_0.1μM	279	5	AG-490
sciPlex3_K562_0.1μM	263	6	AG-490
sciPlex3_A549_0.1μM	255	7	AG-490
sciPlex3_K562_10μM	254	8	AG-490
sciPlex3_MCF7_1μM	210	9	AG-490
sciPlex3_A549_0.01μM	207	10	AG-490
sciPlex3_A549_10μM	158	11	AG-490
sciPlex3_A549_1μM	82	12	AG-490
210322_TFAtlas	319	1	ZNF740
K562_GW	102	2	ZNF740
sciPlex3_A549_1μM	500	1	Decitabine
sciPlex3_A549_0.01μM	376	2	Decitabine
sciPlex3_A549_10μM	346	3	Decitabine
sciPlex3_A549_0.1μM	339	4	Decitabine
sciPlex3_MCF7_0.1μM	338	5	Decitabine
sciPlex3_K562_0.01μM	246	6	Decitabine
sciPlex3_K562_0.1μM	224	7	Decitabine
sciPlex3_MCF7_1μM	219	8	Decitabine
sciPlex3_K562_10μM	214	9	Decitabine
sciPlex3_MCF7_10μM	207	10	Decitabine
sciPlex3_MCF7_0.01μM	202	11	Decitabine
sciPlex3_K562_1μM	202	12	Decitabine
UPR_Perturb_seq	937	1	SEC61A1
exp1-5	423	2	SEC61A1
exp7	381	3	SEC61A1
K562_GW	207	4	SEC61A1
K562_essential	141	5	SEC61A1
RPE1_essential	90	6	SEC61A1
201218_RNA	252	1	HAND1
210322_TFAtlas	35	2	HAND1
stimulated	338	1	NFKB2
unstimulated	242	2	NFKB2
Jurkat_TCR	79	3	NFKB2
201218_RNA	75	4	NFKB2
210322_TFAtlas	73	5	NFKB2
exp7	1019	1	SEC61B
UPR_Perturb_seq	592	2	SEC61B
CRISPRi_perturb_host	349	3	SEC61B
K562_essential	84	4	SEC61B
K562_GW	64	5	SEC61B
RPE1_essential	53	6	SEC61B
exp7	827	1	JUN
stimulated	398	2	JUN
unstimulated	333	3	JUN
PRJNA551220	295	4	JUN
K562_GW	216	5	JUN
210322_TFAtlas	173	6	JUN
Jurkat_TCR	91	7	JUN
K562_GW	266	1	PIAS2
210322_TFAtlas	99	2	PIAS2
CRISPRi_perturb_host	209	1	RBX1
RPE1_essential	70	2	RBX1
K562_GW	55	3	RBX1
K562_essential	47	4	RBX1
sciPlex3_MCF7_0.01μM	430	1	Avagacestat
sciPlex3_MCF7_0.1μM	430	2	Avagacestat
sciPlex3_MCF7_1μM	362	3	Avagacestat
sciPlex3_K562_0.01μM	263	4	Avagacestat
sciPlex3_K562_0.1μM	259	5	Avagacestat
sciPlex3_MCF7_10μM	248	6	Avagacestat
sciPlex3_K562_1μM	240	7	Avagacestat
sciPlex3_A549_0.1μM	220	8	Avagacestat
sciPlex3_K562_10μM	202	9	Avagacestat
sciPlex3_A549_10μM	135	10	Avagacestat
sciPlex3_A549_0.01μM	128	11	Avagacestat
sciPlex3_A549_1μM	98	12	Avagacestat
Perturb-CITE-seq	611	1	TFAP2A
210322_TFAtlas	362	2	TFAP2A
201218_RNA	279	3	TFAP2A
K562_GW	65	4	TFAP2A
UPR_Perturb_seq	679	1	SEC63
CRISPRi_perturb_host	484	2	SEC63
K562_GW	115	3	SEC63
K562_essential	78	4	SEC63
RPE1_essential	70	5	SEC63
K562_GW	450	1	DNMT1
Perturb-CITE-seq	118	2	DNMT1
K562_essential	111	3	DNMT1
RPE1_essential	97	4	DNMT1
K562_GW	243	1	GTF2H2
K562_essential	156	2	GTF2H2
RPE1_essential	47	3	GTF2H2
210322_TFAtlas	39	4	GTF2H2
sciPlex3_MCF7_0.1μM	302	1	Dasatinib
sciPlex3_MCF7_1μM	289	2	Dasatinib
sciPlex3_MCF7_0.01μM	261	3	Dasatinib
sciPlex3_A549_0.01μM	248	4	Dasatinib
sciPlex3_MCF7_10μM	183	5	Dasatinib
sciPlex3_A549_1μM	165	6	Dasatinib
sciPlex3_A549_0.1μM	124	7	Dasatinib
sciPlex3_A549_10μM	122	8	Dasatinib
sciPlex3_K562_0.1μM	109	9	Dasatinib
sciPlex3_K562_1μM	101	10	Dasatinib
sciPlex3_K562_10μM	99	11	Dasatinib
sciPlex3_K562_0.01μM	94	12	Dasatinib
210322_TFAtlas	191	1	ZNF232
201218_RNA	149	2	ZNF232
exp7	483	1	ATF4
exp8	434	2	ATF4
UPR_Perturb_seq	161	3	ATF4
K562_GW	81	4	ATF4
K562_essential	65	5	ATF4
RPE1_essential	42	6	ATF4
210322_TFAtlas	34	7	ATF4
210322_TFAtlas	318	1	TAF1A
K562_GW	54	2	TAF1A
210322_TFAtlas	836	1	TADA2A
RPE1_essential	105	2	TADA2A
K562_GW	53	3	TADA2A
K562_essential	20	4	TADA2A
sciPlex3_K562_0.1μM	285	1	BMS-754807
sciPlex3_K562_1μM	272	2	BMS-754807
sciPlex3_K562_0.01μM	264	3	BMS-754807
sciPlex3_MCF7_0.01μM	260	4	BMS-754807
sciPlex3_K562_10μM	203	5	BMS-754807
sciPlex3_MCF7_1μM	189	6	BMS-754807
sciPlex3_A549_0.01μM	182	7	BMS-754807
sciPlex3_MCF7_0.1μM	174	8	BMS-754807
sciPlex3_A549_0.1μM	129	9	BMS-754807
sciPlex3_MCF7_10μM	125	10	BMS-754807
sciPlex3_A549_10μM	91	11	BMS-754807
sciPlex3_A549_1μM	86	12	BMS-754807
K562_GW	335	1	KLF11
210322_TFAtlas	127	2	KLF11
sciPlex3_MCF7_0.01μM	561	1	FLLL32
sciPlex3_A549_1μM	402	2	FLLL32
sciPlex3_A549_10μM	380	3	FLLL32
sciPlex3_A549_0.1μM	373	4	FLLL32
sciPlex3_A549_0.01μM	368	5	FLLL32
sciPlex3_MCF7_1μM	292	6	FLLL32
sciPlex3_MCF7_10μM	285	7	FLLL32
sciPlex3_K562_0.01μM	276	8	FLLL32
sciPlex3_MCF7_0.1μM	262	9	FLLL32
sciPlex3_K562_1μM	250	10	FLLL32
sciPlex3_K562_0.1μM	245	11	FLLL32
sciPlex3_K562_10μM	46	12	FLLL32
UPR_Perturb_seq	261	1	CAD
RPE1_essential	96	2	CAD
exp6	48	3	CAD
K562_GW	44	4	CAD
unstimulated	430	1	EGR2
stimulated	289	2	EGR2
210322_TFAtlas	151	3	EGR2
Jurkat_TCR	79	4	EGR2
CRISPRa	59	5	EGR2
PRJNA551220	941	1	FOXA3
PRJNA524331	339	2	FOXA3
extend_61	158	3	FOXA3
210322_TFAtlas	93	4	FOXA3
CRISPRi_perturb_host	271	1	CYCS
K562_essential	163	2	CYCS
K562_GW	130	3	CYCS
RPE1_essential	120	4	CYCS
CRISPRi	93	5	CYCS
CRISPRa	86	6	CYCS
K562_GW	393	1	E2F3
210322_TFAtlas	63	2	E2F3
K562_GW	234	1	DR1
210322_TFAtlas	175	2	DR1
K562_essential	92	3	DR1
RPE1_essential	37	4	DR1
201218_RNA	195	1	HOXD11
210322_TFAtlas	159	2	HOXD11
K562_GW	186	1	NFE2L3
210322_TFAtlas	36	2	NFE2L3
K562_GW	209	1	BCS1L
CRISPRi	138	2	BCS1L
RPE1_essential	106	3	BCS1L
K562_essential	42	4	BCS1L
210322_TFAtlas	189	1	DCP1A
K562_GW	135	2	DCP1A
K562_GW	126	1	PFDN1
CRISPRi	121	2	PFDN1
RPE1_essential	59	3	PFDN1
K562_essential	26	4	PFDN1
K562_GW	173	1	STRAP
210322_TFAtlas	99	2	STRAP
K562_essential	80	3	STRAP
RPE1_essential	67	4	STRAP
CRISPRi	237	1	TOP1
K562_GW	170	2	TOP1
K562_essential	109	3	TOP1
RPE1_essential	42	4	TOP1
UPR_Perturb_seq	519	1	SAMM50
K562_GW	87	2	SAMM50
K562_essential	83	3	SAMM50
RPE1_essential	39	4	SAMM50
210322_TFAtlas	1000	1	RHOXF2
PRJNA551220	709	2	RHOXF2
210322_TFAtlas	342	1	HOXB6
extend_61	93	2	HOXB6
sciPlex3_MCF7_0.01μM	459	1	BMS-536924
sciPlex3_K562_1μM	300	2	BMS-536924
sciPlex3_MCF7_0.1μM	298	3	BMS-536924
sciPlex3_MCF7_10μM	280	4	BMS-536924
sciPlex3_K562_0.1μM	259	5	BMS-536924
sciPlex3_K562_0.01μM	259	6	BMS-536924
sciPlex3_K562_10μM	222	7	BMS-536924
sciPlex3_A549_0.01μM	202	8	BMS-536924
sciPlex3_MCF7_1μM	170	9	BMS-536924
sciPlex3_A549_10μM	101	10	BMS-536924
sciPlex3_A549_1μM	66	11	BMS-536924
sciPlex3_A549_0.1μM	52	12	BMS-536924
sciPlex3_MCF7_0.1μM	445	1	Veliparib
sciPlex3_MCF7_0.01μM	392	2	Veliparib
sciPlex3_MCF7_1μM	358	3	Veliparib
sciPlex3_MCF7_10μM	324	4	Veliparib
sciPlex3_K562_10μM	283	5	Veliparib
sciPlex3_K562_0.01μM	280	6	Veliparib
sciPlex3_K562_0.1μM	257	7	Veliparib
sciPlex3_K562_1μM	253	8	Veliparib
sciPlex3_A549_0.01μM	230	9	Veliparib
sciPlex3_A549_1μM	217	10	Veliparib
sciPlex3_A549_10μM	127	11	Veliparib
sciPlex3_A549_0.1μM	117	12	Veliparib
K562_GW	161	1	GMEB1
210322_TFAtlas	108	2	GMEB1
K562_GW	80	1	ZBTB39
210322_TFAtlas	30	2	ZBTB39
sciPlex3_MCF7_0.01μM	264	1	Flavopiridol-HCl
sciPlex3_K562_0.01μM	219	2	Flavopiridol-HCl
sciPlex3_MCF7_0.1μM	187	3	Flavopiridol-HCl
sciPlex3_A549_0.01μM	181	4	Flavopiridol-HCl
sciPlex3_K562_0.1μM	121	5	Flavopiridol-HCl
sciPlex3_A549_0.1μM	115	6	Flavopiridol-HCl
sciPlex3_A549_1μM	78	7	Flavopiridol-HCl
sciPlex3_MCF7_1μM	37	8	Flavopiridol-HCl
sciPlex3_K562_1μM	21	9	Flavopiridol-HCl
sciPlex3_MCF7_10μM	445	1	Resminostat
sciPlex3_MCF7_0.1μM	336	2	Resminostat
sciPlex3_MCF7_1μM	303	3	Resminostat
sciPlex3_MCF7_0.01μM	280	4	Resminostat
sciPlex3_K562_0.01μM	270	5	Resminostat
sciPlex3_A549_0.1μM	231	6	Resminostat
sciPlex3_K562_0.1μM	226	7	Resminostat
sciPlex3_A549_0.01μM	220	8	Resminostat
sciPlex3_K562_1μM	202	9	Resminostat
sciPlex3_A549_10μM	173	10	Resminostat
sciPlex3_A549_1μM	149	11	Resminostat
sciPlex3_K562_10μM	122	12	Resminostat
sciPlex3_MCF7_0.01μM	501	1	Crizotinib
sciPlex3_MCF7_0.1μM	451	2	Crizotinib
sciPlex3_MCF7_1μM	407	3	Crizotinib
sciPlex3_K562_0.01μM	268	4	Crizotinib
sciPlex3_A549_1μM	237	5	Crizotinib
sciPlex3_A549_0.1μM	232	6	Crizotinib
sciPlex3_A549_0.01μM	231	7	Crizotinib
sciPlex3_MCF7_10μM	230	8	Crizotinib
sciPlex3_K562_0.1μM	228	9	Crizotinib
sciPlex3_K562_1μM	95	10	Crizotinib
sciPlex3_A549_10μM	86	11	Crizotinib
sciPlex3_K562_10μM	86	12	Crizotinib
K562_GW	252	1	POU4F1
CRISPRi	150	2	POU4F1
CRISPRa	102	3	POU4F1
210322_TFAtlas	25	4	POU4F1
exp7	988	1	PABPC1
Perturb-CITE-seq	109	2	PABPC1
RPE1_essential	45	3	PABPC1
K562_GW	21	4	PABPC1
REDESIGN	1502	1	STK3
L1000	890	2	STK3
WTX_DIFFEX	662	3	STK3
TAP_DIFFEX	637	4	STK3
K562_GW	185	5	STK3
exp8	1104	1	RORA
210322_TFAtlas	154	2	RORA
210322_TFAtlas	232	1	ZNF579
K562_GW	157	2	ZNF579
PRJNA551220	1251	1	ZBTB25
210322_TFAtlas	1082	2	ZBTB25
K562_GW	168	1	AHCY
ORF_screen	162	2	AHCY
K562_essential	79	3	AHCY
RPE1_essential	62	4	AHCY
Perturb-CITE-seq	35	5	AHCY
K562_GW	158	1	ZNF791
210322_TFAtlas	88	2	ZNF791
210322_TFAtlas	4145	1	PAX5
201218_RNA	901	2	PAX5
sciPlex3_MCF7_0.1μM	514	1	Pirarubicin
sciPlex3_MCF7_1μM	287	2	Pirarubicin
sciPlex3_A549_0.1μM	237	3	Pirarubicin
sciPlex3_MCF7_0.01μM	235	4	Pirarubicin
sciPlex3_A549_0.01μM	228	5	Pirarubicin
sciPlex3_K562_0.1μM	220	6	Pirarubicin
sciPlex3_K562_0.01μM	212	7	Pirarubicin
sciPlex3_K562_1μM	206	8	Pirarubicin
sciPlex3_MCF7_10μM	203	9	Pirarubicin
sciPlex3_A549_1μM	136	10	Pirarubicin
sciPlex3_K562_10μM	124	11	Pirarubicin
sciPlex3_A549_10μM	94	12	Pirarubicin
sciPlex3_MCF7_10μM	515	1	Ki16425
sciPlex3_MCF7_0.01μM	419	2	Ki16425
sciPlex3_MCF7_0.1μM	418	3	Ki16425
sciPlex3_MCF7_1μM	402	4	Ki16425
sciPlex3_K562_0.01μM	270	5	Ki16425
sciPlex3_K562_1μM	242	6	Ki16425
sciPlex3_A549_1μM	234	7	Ki16425
sciPlex3_K562_0.1μM	229	8	Ki16425
sciPlex3_K562_10μM	218	9	Ki16425
sciPlex3_A549_0.01μM	160	10	Ki16425
sciPlex3_A549_0.1μM	148	11	Ki16425
sciPlex3_A549_10μM	137	12	Ki16425
PRJNA524331	1287	1	SMAD2
T2D	339	2	SMAD2
K562_GW	320	3	SMAD2
210322_TFAtlas	151	4	SMAD2
K562_GW	138	1	UBA52
RPE1_essential	113	2	UBA52
K562_essential	58	3	UBA52
Perturb-CITE-seq	33	4	UBA52
210322_TFAtlas	384	1	HNRNPAB
K562_GW	168	2	HNRNPAB
K562_GW	188	1	CRTC3
210322_TFAtlas	49	2	CRTC3
210322_TFAtlas	226	1	SMARCE1
RPE1_essential	50	2	SMARCE1
K562_GW	44	3	SMARCE1
K562_essential	28	4	SMARCE1
210322_TFAtlas	97	1	MTA3
K562_GW	30	2	MTA3
sciPlex3_MCF7_0.1μM	531	1	Quercetin
sciPlex3_MCF7_1μM	526	2	Quercetin
sciPlex3_MCF7_0.01μM	503	3	Quercetin
sciPlex3_MCF7_10μM	278	4	Quercetin
sciPlex3_K562_1μM	241	5	Quercetin
sciPlex3_A549_0.01μM	241	6	Quercetin
sciPlex3_K562_0.1μM	237	7	Quercetin
sciPlex3_K562_0.01μM	222	8	Quercetin
sciPlex3_K562_10μM	199	9	Quercetin
sciPlex3_A549_10μM	172	10	Quercetin
sciPlex3_A549_0.1μM	172	11	Quercetin
sciPlex3_A549_1μM	92	12	Quercetin
210322_TFAtlas	279	1	ERCC8
K562_GW	33	2	ERCC8
sciPlex3_MCF7_0.01μM	439	1	Nintedanib
sciPlex3_K562_0.01μM	296	2	Nintedanib
sciPlex3_MCF7_1μM	294	3	Nintedanib
sciPlex3_A549_1μM	270	4	Nintedanib
sciPlex3_A549_0.01μM	270	5	Nintedanib
sciPlex3_MCF7_0.1μM	248	6	Nintedanib
sciPlex3_K562_0.1μM	226	7	Nintedanib
sciPlex3_A549_0.1μM	158	8	Nintedanib
sciPlex3_MCF7_10μM	148	9	Nintedanib
sciPlex3_K562_1μM	128	10	Nintedanib
sciPlex3_A549_10μM	126	11	Nintedanib
sciPlex3_K562_10μM	71	12	Nintedanib
sciPlex3_A549_0.01μM	605	1	Aurora-A-Inhibitor-I
sciPlex3_A549_0.1μM	491	2	Aurora-A-Inhibitor-I
sciPlex3_MCF7_1μM	464	3	Aurora-A-Inhibitor-I
sciPlex3_MCF7_0.1μM	451	4	Aurora-A-Inhibitor-I
sciPlex3_A549_1μM	408	5	Aurora-A-Inhibitor-I
sciPlex3_MCF7_10μM	316	6	Aurora-A-Inhibitor-I
sciPlex3_A549_10μM	298	7	Aurora-A-Inhibitor-I
sciPlex3_K562_1μM	268	8	Aurora-A-Inhibitor-I
sciPlex3_K562_0.1μM	259	9	Aurora-A-Inhibitor-I
sciPlex3_K562_0.01μM	258	10	Aurora-A-Inhibitor-I
sciPlex3_MCF7_0.01μM	256	11	Aurora-A-Inhibitor-I
sciPlex3_K562_10μM	171	12	Aurora-A-Inhibitor-I
201218_RNA	108	1	ZNF155
210322_TFAtlas	71	2	ZNF155
Perturb-CITE-seq	72	1	EIF4A1
RPE1_essential	49	2	EIF4A1
K562_GW	42	3	EIF4A1
K562_essential	37	4	EIF4A1
exp7	406	1	EEF2
CRISPRi	187	2	EEF2
K562_GW	185	3	EEF2
K562_essential	168	4	EEF2
RPE1_essential	59	5	EEF2
K562_GW	89	1	MIER3
210322_TFAtlas	79	2	MIER3
210322_TFAtlas	264	1	PSMB4
K562_GW	197	2	PSMB4
K562_essential	101	3	PSMB4
RPE1_essential	40	4	PSMB4
210322_TFAtlas	231	1	OXSR1
K562_GW	49	2	OXSR1
K562_GW	152	1	GSK3B
Pre_inject	135	2	GSK3B
Driver_lib	110	3	GSK3B
RPE1_essential	83	4	GSK3B
sciPlex3_MCF7_1μM	505	1	Busulfan
sciPlex3_MCF7_0.1μM	471	2	Busulfan
sciPlex3_MCF7_0.01μM	380	3	Busulfan
sciPlex3_K562_1μM	322	4	Busulfan
sciPlex3_K562_0.1μM	307	5	Busulfan
sciPlex3_K562_0.01μM	285	6	Busulfan
sciPlex3_K562_10μM	282	7	Busulfan
sciPlex3_A549_0.01μM	263	8	Busulfan
sciPlex3_MCF7_10μM	239	9	Busulfan
sciPlex3_A549_0.1μM	223	10	Busulfan
sciPlex3_A549_1μM	152	11	Busulfan
sciPlex3_A549_10μM	137	12	Busulfan
sciPlex3_MCF7_10μM	433	1	Givinostat
sciPlex3_MCF7_0.01μM	377	2	Givinostat
